,id,tipo,nombre,latitud,longitud,elevacion,iso_region,Ciudad,score
576,38744,heliport,Cabaña San Isidro Labrador Heliport,-34.3783,-58.7883,39.0,AR-B,Belén De Escobar,25
577,38925,heliport,Legat S.A. Heliport,-34.3168,-58.8166,16.0,AR-B,Belén De Escobar,25
578,38872,heliport,Hospital Nac. De Pediatría J. Garraham Heliport,-34.6308,-58.3936,127.0,AR-B,Buenos Aires,25
579,38726,heliport,Autodromo Ciudad De Bs. As. Heliport,-34.6939,-58.46,16.0,AR-C,Buenos Aires,25
580,38732,heliport,B. Churruca Heliport,-34.6407,-58.4094,19.0,AR-C,Buenos Aires,25
581,38766,heliport,Centinela Heliport,-34.5822,-58.3744,42.0,AR-C,Buenos Aires,25
582,38798,heliport,Darsena Sur Heliport,-34.6278,-58.3515,16.0,AR-C,Buenos Aires,25
583,38801,heliport,Dines ( Dr. E. Escudero) Heliport,-34.5726,-58.4005,19.0,AR-C,Buenos Aires,25
584,38838,heliport,Fuerza Aérea(Edificio Cóndor) Heliport,-34.5858,-58.3681,19.0,AR-C,Buenos Aires,25
585,38938,heliport,Madero Heliport,-34.6217,-58.3447,16.0,AR-C,Buenos Aires,25
586,38962,heliport,P.N.A. Of. Ppal. Ballestra Heliport,-34.5772,-58.3838,19.0,AR-C,Buenos Aires,25
587,38978,heliport,Presidencia De La Nación Heliport,-34.6064,-58.3683,26.0,AR-C,Buenos Aires,25
588,39012,heliport,Sanatorio Guemes Heliport,-34.597,-58.4219,268.0,AR-C,Buenos Aires,25
589,39022,heliport,Swiss Medical Heliport,-34.5808,-58.4294,193.0,AR-C,Buenos Aires,25
590,38748,heliport,Cabo Vírgenes Heliport,-52.3278,-68.4092,180.0,AR-Z,Cabo Vírgenes,25
591,39032,heliport,Transener S.A. Heliport,-34.175,-58.9983,32.0,AR-B,Campana,25
592,38901,heliport,La Madrugada Heliport,-34.2382,-59.1915,85.0,AR-B,Capilla Del Señor,25
593,38917,heliport,Las Araucarias Heliport,-34.3067,-59.1703,82.0,AR-B,Capilla Del Señor,25
594,38934,heliport,Los Fresnos Heliport,-34.2806,-59.12,111.0,AR-B,Capilla Del Señor,25
595,39005,heliport,San Joaquín Heliport,-34.3344,-59.7139,137.0,AR-B,Carmen De Areco,25
596,38831,heliport,Estancia Santa Isabel Heliport,-39.8847,-70.5136,3116.0,AR-Q,Catan Lil,25
597,38808,heliport,El Capricho Heliport,-34.2325,-59.3158,98.0,AR-B,Chenaut,25
598,39039,heliport,Transener S.A. Heliport,-39.5675,-65.6886,426.0,AR-R,Choele Choel,25
599,38903,heliport,La Milagrosa Heliport,-32.4828,-58.2506,49.0,AR-E,Concepcion Del Uruguay,25
600,39023,heliport,Talitas Heliport,-32.5481,-58.2406,26.0,AR-E,Concepcion Del Uruguay,25
601,38750,heliport,Campo De Vuelo Heliport,-31.3689,-64.2636,1515.0,AR-X,Cordoba,25
602,38762,heliport,Casa De Gobierno Heliport,-31.4306,-64.1842,1420.0,AR-X,Cordoba,25
603,38780,heliport,Ciudad Universitaria Heliport,-31.4406,-64.1894,1443.0,AR-X,Cordoba,25
604,38974,heliport,Policía Provincia De Córdoba Heliport,-31.3994,-64.1833,1293.0,AR-X,Cordoba,25
605,38984,heliport,Raies Heliport,-31.3461,-64.2081,1459.0,AR-X,Cordoba,25
